labels,zdoc_count
done-Duplicates-end,2
done-Duplicates-General-end,2
done-CYBG Specific-end,5
done-Deloitte specific-Immediate-end,3
done-General-Duplicates-end,2
done-Immediate-Deloitte Specific-end,9
done-General-Deloitte Specific-end,9
done-Immediate-Duplicates-end,2
Immediate-done-end,3
Deloitte Specific-Immediate-end,1
done-Deloitte specific-Deloitte Specific-end,9
NAGE PPI-done-end,2
Immediate-Deloitte Specific-end,4
done-Deloitte Specific-General-end,2
done-Deloitte Specific-Immediate-end,3
done-CYBG Specific-Deloitte specific-end,2
done-Deloitte specific-Duplicates-end,2
CYBG Specific-end,16
done-CYBG Specific-Immediate-end,3
Immediate-end,4
done-CYBG Specific-General-end,2
done-General-Deloitte specific-end,2
done-CYBG Specific-Deloitte Specific-end,9
done-Deloitte Specific-CYBG Specific-end,5
done-CYBG Specific-Duplicates-end,2
done-Deloitte Specific-Deloitte specific-end,2
done-General-CYBG Specific-end,5
done-Immediate-Deloitte specific-end,2
done-Deloitte Specific-end,9
Deloitte Specific-Immediate-done-end,7
Deloitte specific-done-end,2
Deloitte specific-end,3
done-Deloitte Specific-Duplicates-end,2
Immediate-done-end,4
Deloitte specific-done-end,3
done-Duplicates-Deloitte specific-end,2
Direct Recruitment-end,3
Immediate-Deloitte Specific-done-end,3
done-end,157
done-Deloitte specific-end,157
NAGE PPI-end,3
CYBG Specific-done-end,16
done-Immediate-CYBG Specific-end,5
Deloitte Specific-Immediate-end,46
Deloitte Specific-done-Immediate-end,1
Deloitte Specific-end,46
done-CYBG Specific-end,157
done-General-end,157
done-Immediate-end,3
done-Immediate-General-end,2
done-General-end,2
Deloitte Specific-done-end,7
done-Duplicates-CYBG Specific-end,5
CYBG Specific-done-end,5
Immediate-Deloitte Specific-end,1
Deloitte Specific-done-end,46
done-Deloitte specific-end,2
NAGE PPI-done-end,3
done-Deloitte Specific-end,157
done-Duplicates-end,157
Immediate-done-Deloitte Specific-end,1
done-Immediate-end,157
done-General-Immediate-end,3
done-Deloitte specific-CYBG Specific-end,5
done-Deloitte specific-General-end,2
done-Duplicates-Immediate-end,3
done-Duplicates-Deloitte Specific-end,9
